Specimen ID,Specimen ID curated,Genus,Species,Sex,Status,Site,Collection Date,Collection Date curated,Latitude,Longitude,Habitat,Habitat_curated
CMS002_056a_Rb_S9_L004,CMS002_056a,Culex,tarsalis,N.D.,unfed,PLCR,2017-11-28T00:00:00Z,2017-11-28,38.787211,-121.372895,Residential ,Residential
CMS002_057a_Rb_S10_L004,CMS002_057a,Culex,pipiens,N.D.,unfed,PLCR,2017-11-28T00:00:00Z,2017-11-28,38.787211,-121.372895,Residential ,Residential
CMS002_Water1_Rb_S127_L004,CMS002_Water1,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water2_Rb_S139_L004,CMS002_Water2,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water3_Rb_S151_L004,CMS002_Water3,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water4_Rb_S163_L004,CMS002_Water4,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water5_Rb_S175_L004,CMS002_Water5,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water6_Rb_S187_L004,CMS002_Water6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water7_Rb_S199_L004,CMS002_Water7,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
CMS002_Water8_Rb_S11_L004,CMS002_Water8,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
