sample	all reads	contigs	Viruses	Viral via co-occurrence	dark contigs	Eukaryota	Metazoa	Bacteria	Ambiguous	Archaea	unassembled
all	22740268	13014981	10930168	383905	167	850497	214209	680711	553300	138	9725287
CMS001_001_Ra_S1	650390	502736	336067	980	0	40305	3222	45878	80476	10	147654
CMS001_002_Ra_S1	359913	309248	306101	4332	0	468	374	50	2629	0	50665
CMS001_003_Ra_S2	184084	19460	4873	0	0	8655	5627	238	5694	0	164624
CMS001_004_Ra_S2	45080	38471	13383	7771	0	1555	1550	20429	3104	0	6609
CMS001_005_Ra_S3	236122	16814	359	0	0	8975	5933	154	7326	0	219308
CMS001_006_Ra_S5	95649	17832	12023	0	0	1426	717	2345	2038	0	77817
CMS001_007_Ra_S12	40631	11167	202	30	0	9562	327	26	1377	0	29464
CMS001_008_Ra_S3	135676	23749	9772	0	0	4665	2292	99	9207	6	111927
CMS001_009_Ra_S13	239552	69699	336	0	0	11561	2667	12365	45437	0	169853
CMS001_010_Ra_S1	28000	2076	1513	27	0	540	503	23	0	0	25924
CMS001_011_Ra_S4	145002	81981	36960	10540	0	37855	12704	5832	1334	0	63021
CMS001_012_Ra_S4	168895	14091	6833	90	0	6616	4931	638	0	4	154804
CMS001_013_Ra_S5	89495	23953	12184	16	0	2742	2313	4582	4445	0	65542
CMS001_014_Ra_S5	135975	4770	47	0	0	2740	2034	16	1963	4	131205
CMS001_015_Ra_S13	49159	19119	17848	0	0	1073	1032	31	167	0	30040
CMS001_016_Ra_S6	201440	8246	93	0	0	5091	3827	306	2756	0	193194
CMS001_017_Ra_S6	93437	22800	16737	52	0	1332	739	52	4679	0	70637
CMS001_018_Ra_S14	60841	25920	6884	162	0	9981	722	8356	699	0	34921
CMS001_019_Ra_S14	68643	49517	44218	49	0	561	529	708	4030	0	19126
CMS001_020_Ra_S15	380334	298287	290570	2449	0	7061	6156	24	632	0	82047
CMS001_021_Ra_S16	236747	90473	86943	90	0	2384	1509	43	1096	7	146274
CMS001_022_Ra_S6	158753	111892	10203	4010	0	101273	2796	95	321	0	46861
CMS001_023_Ra_S17	58659	24912	22381	9955	0	1176	1105	32	1323	0	33747
CMS001_024_Ra_S15	61506	34241	30166	0	0	486	324	40	3549	0	27265
CMS001_025_Ra_S7	148782	23883	10578	0	0	4755	2076	87	8459	4	124899
CMS001_026_Ra_S18	194284	18672	270	0	0	3340	2370	9649	5413	0	175612
CMS001_027_Ra_S16	61444	24026	11215	650	0	10453	10175	198	2160	0	37418
CMS001_028_Ra_S17	88016	44974	36716	2799	0	1395	1085	6481	382	0	43042
CMS001_029_Ra_S18	79789	71748	58247	20817	0	11215	11019	2210	76	0	8041
CMS001_030_Ra_S7	67982	59820	35244	0	0	695	653	17421	6460	0	8162
CMS001_031_Ra_S19	93970	31467	27680	0	0	1659	1478	1642	486	0	62503
CMS001_032_Ra_S7	79183	54541	45788	382	0	8753	8679	0	0	0	24642
CMS001_033_Ra_S8	173114	88631	83692	0	0	512	335	24	4403	0	84483
CMS001_034_Ra_S19	106705	65239	64895	10057	0	299	201	12	33	0	41466
CMS001_035_Ra_S20	352244	275507	31177	121	0	239152	734	219	4959	0	76737
CMS001_036_Ra_S20	256579	59704	47669	3219	0	5968	3447	229	5838	0	196875
CMS001_037_Ra_S21	103593	34345	26304	3508	0	7855	7365	74	112	0	69248
CMS001_038_Ra_S22	127889	82410	57136	916	0	6196	2080	15886	3192	0	45479
CMS001_039_Ra_S9	107580	58586	58207	787	0	292	142	14	73	0	48994
CMS001_040_Ra_S21	66126	32027	31405	5535	0	622	93	0	0	0	34099
CMS001_041_Ra_S10	99211	92521	26602	0	0	4239	3917	57044	4636	0	6690
CMS001_042_Ra_S23	130998	58880	56003	4461	0	507	411	3	2367	0	72118
CMS001_043_Ra_S24	73056	24881	21039	248	0	3780	3500	21	41	0	48175
CMS001_044_Ra_S25	64212	59706	50521	808	0	17	5	6747	2421	0	4506
CMS001_045_Ra_S2	131124	89204	83799	1402	0	1674	1519	3731	0	0	41920
CMS001_046_Ra_S3	381425	360334	352476	894	0	1237	1032	5905	716	0	21091
CMS001_047_Ra_S4	100093	71422	31841	3722	0	31237	679	8238	106	0	28671
CMS001_048_Ra_S5	43353	18273	9370	1828	0	2947	2765	5721	235	0	25080
CMS001_049_Ra_S6	63236	35109	28196	92	0	5884	1864	905	124	0	28127
CMS001_050_Ra_S23	95964	23159	10310	0	0	6332	5869	5111	1406	0	72805
CMS001_051_Ra_S8	189528	90519	83688	6360	0	1256	607	445	5130	0	99009
CMS001_052_Ra_S7	43218	12447	11201	3834	0	1169	1012	4	73	0	30771
CMS001_053_Ra_S8	42986	16998	15419	25	0	1058	984	360	161	0	25988
CMS001_054_Ra_S11	40089	35339	2210	0	0	469	66	31908	752	0	4750
CMS001_055_Ra_S9	26989	462	28	0	0	95	59	15	324	0	26527
CMS001_056_Ra_S10	34022	15452	12460	0	0	205	172	2320	467	0	18570
CMS001_057_Ra_S11	175072	112878	24569	0	0	2215	1900	26139	59955	0	62194
CMS001_058_Ra_S9	101862	19654	12464	0	0	4997	4173	1758	435	0	82208
