sample	all reads	contigs	Viruses	Viral via co-occurrence	dark contigs	Eukaryota	Metazoa	Bacteria	Ambiguous	Archaea	unassembled
CMS001_059_Ra_S10	93791	80742	42472	3685	0	4644	2469	29596	4030	0	13049
CMS001_060_Ra_S12	320449	56055	41523	0	0	8583	6232	159	5782	8	264394
CMS002_001a_Rb_S116_L004	79482	73475	40493	0	0	71	54	8577	24334	0	6007
CMS002_004a_Rb_S117_L004	10260	6141	0	0	0	1283	11	4354	504	0	4119
CMS002_007a_Rb_S118_L004	359596	17820	104	0	0	8791	6053	229	8674	22	341776
CMS002_010a_Rb_S119_L004	26715	22430	14407	0	0	106	72	7411	506	0	4285
CMS002_013a_Rb_S120_L004	59708	49693	31321	0	0	330	270	18042	0	0	10015
CMS002_016a_Rb_S121_L004	0	0	0	0	0	0	0	0	0	0	0
CMS002_017a_Rb_S122_L004	151794	125555	125414	8367	0	137	0	4	0	0	26239
CMS002_017b_Rb_S123_L004	172116	167989	143637	14708	0	24347	0	5	0	0	4127
CMS002_017c_Rb_S124_L004	161740	155226	134837	9867	0	20382	0	7	0	0	6514
CMS002_017d_Rb_S125_L004	247029	182284	174361	13583	0	12	0	7299	612	0	64745
CMS002_017e_Rb_S126_L004	12834	10908	8021	1951	0	0	0	2887	0	0	1926
CMS002_018a_Rb_S128_L004	32974	32360	32360	0	0	0	0	0	0	0	614
CMS002_018b_Rb_S129_L004	218524	212065	211850	6805	0	120	4	81	6	8	6459
CMS002_019a_Rb_S130_L004	210355	207632	207620	0	0	5	0	7	0	0	2723
CMS002_020a_Rb_S131_L004	676847	133827	115620	0	0	7201	3821	815	10187	4	543020
CMS002_020b_Rb_S132_L004	249696	189036	187391	57	0	496	184	16	1133	0	60660
CMS002_020c_Rb_S133_L004	304672	196103	193617	0	0	427	251	37	2022	0	108569
CMS002_020d_Rb_S134_L004	140320	43179	39778	0	0	468	267	352	2581	0	97141
CMS002_020e_Rb_S135_L004	409123	200706	194129	0	0	1656	1257	170	4743	8	208417
CMS002_021a_Rb_S136_L004	714421	152825	101181	0	0	16174	10529	700	34761	9	561596
CMS002_022a_Rb_S137_L004	85122	76634	48359	4362	0	156	47	27871	248	0	8488
CMS002_023a_Rb_S138_L004	101473	97433	95734	19786	0	117	0	1582	0	0	4040
CMS002_025a_Rb_S140_L004	1646	12	0	0	0	12	0	0	0	0	1634
CMS002_025b_Rb_S141_L004	657	8	0	0	0	0	0	8	0	0	649
CMS002_025c_Rb_S142_L004	1821	194	4	0	0	173	4	13	4	0	1627
CMS002_025d_Rb_S143_L004	0	0	0	0	0	0	0	0	0	0	0
CMS002_025e_Rb_S144_L004	2603	53	0	0	0	53	25	0	0	0	2550
CMS002_025f_Rb_S145_L004	0	0	0	0	0	0	0	0	0	0	0
CMS002_026a_Rb_S146_L004	11413	10474	8198	838	0	43	0	2233	0	0	939
CMS002_026b_Rb_S147_L004	17739	15962	13897	1841	0	342	0	1723	0	0	1777
CMS002_026c_Rb_S148_L004	24002	20092	13536	1191	0	1373	0	5183	0	0	3910
CMS002_026d_Rb_S149_L004	43110	39215	32539	1955	0	1467	21	5209	0	0	3895
CMS002_026e_Rb_S150_L004	18942	16575	11946	1296	0	325	0	4304	0	0	2367
CMS002_027a_Rb_S152_L004	32261	23768	17889	6496	0	36	28	5756	87	0	8493
CMS002_027b_Rb_S153_L004	173981	162668	121346	39361	0	144	70	39417	1761	0	11313
CMS002_028a_Rb_S154_L004	87608	34249	31611	0	31	961	362	26	1620	0	53359
CMS002_028b_Rb_S155_L004	100739	38598	35750	17	0	870	588	75	1896	7	62141
CMS002_028c_Rb_S156_L004	94652	31273	29626	0	0	1029	805	46	572	0	63379
CMS002_028d_Rb_S157_L004	138247	88157	86411	0	0	609	385	48	1089	0	50090
CMS002_028e_Rb_S158_L004	629253	539531	518392	0	0	1177	845	13781	6181	0	89722
CMS002_029a_Rb_S159_L004	269272	125175	110888	16	0	1937	1345	10598	1752	0	144097
CMS002_029b_Rb_S160_L004	154893	97473	95281	0	0	1297	823	34	861	0	57420
CMS002_029c_Rb_S161_L004	167209	106470	97289	6804	0	580	178	28	8573	0	60739
CMS002_029d_Rb_S162_L004	278843	199952	159288	29824	0	22159	465	20	18485	0	78891
CMS002_029e_Rb_S164_L004	181338	146353	146163	547	0	167	79	23	0	0	34985
CMS002_031a_Rb_S165_L004	269684	180823	176367	48	114	992	616	3350	0	0	88861
CMS002_032a_Rb_S166_L004	463834	276897	271842	0	0	3238	2198	278	1539	0	186937
CMS002_033a_Rb_S167_L004	372299	203582	198917	0	0	2888	2308	102	1662	13	168717
CMS002_034a_Rb_S168_L004	142139	98534	98195	0	0	339	213	0	0	0	43605
CMS002_035a_Rb_S169_L004	586495	407410	402911	0	0	2472	1651	148	1879	0	179085
CMS002_036a_Rb_S170_L004	264406	169402	168698	0	0	686	475	12	0	6	95004
CMS002_037a_Rb_S171_L004	283722	174154	164218	0	0	1004	673	198	8734	0	109568
CMS002_038a_Rb_S172_L004	437834	315436	229493	0	22	1323	832	77546	7043	9	122398
CMS002_039a_Rb_S173_L004	295489	148917	145616	0	0	2016	1239	83	1198	4	146572
CMS002_040a_Rb_S174_L004	324781	240104	204514	0	0	32643	1117	192	2755	0	84677
CMS002_041a_Rb_S176_L004	182820	114164	95689	0	0	379	214	16367	1729	0	68656
CMS002_042a_Rb_S177_L004	59252	5840	1405	12	0	2800	2689	1259	371	5	53412
CMS002_044a_Rb_S178_L004	3372	885	834	71	0	48	0	3	0	0	2487
CMS002_044b_Rb_S179_L004	1410	316	305	0	0	11	0	0	0	0	1094
CMS002_044c_Rb_S180_L004	1879	413	357	19	0	52	0	4	0	0	1466
CMS002_044d_Rb_S181_L004	5418	2678	2602	347	0	37	4	0	39	0	2740
CMS002_044e_Rb_S182_L004	2937	879	853	171	0	20	0	6	0	0	2058
CMS002_045a_Rb_S183_L004	34716	33053	28097	738	0	41	4	4915	0	0	1663
CMS002_045b_Rb_S184_L004	44970	42796	42690	3211	0	81	0	25	0	0	2174
CMS002_045c_Rb_S185_L004	104312	100633	100592	1034	0	4	0	37	0	0	3679
CMS002_045d_Rb_S186_L004	181302	180014	179352	1515	0	0	0	662	0	0	1288
CMS002_045e_Rb_S188_L004	242569	217640	217303	1118	0	0	0	337	0	0	24929
CMS002_045f_Rb_S189_L004	21399	20312	20172	578	0	0	0	140	0	0	1087
CMS002_045g_Rb_S190_L004	97852	96647	95474	724	0	6	0	1167	0	0	1205
CMS002_046a_Rb_S191_L004	82837	75899	41131	19161	0	61	45	13918	20789	0	6938
CMS002_046b_Rb_S192_L004	90024	82438	56425	22635	0	304	158	8292	17417	0	7586
CMS002_047a_Rb_S193_L004	108555	50206	45880	0	0	900	608	191	3235	0	58349
CMS002_047b_Rb_S194_L004	60646	25574	24820	0	0	734	249	20	0	0	35072
CMS002_047c_Rb_S195_L004	110724	30529	23790	0	0	1561	825	64	5114	0	80195
CMS002_047d_Rb_S196_L004	152862	71385	68714	44673	0	948	442	172	1551	0	81477
CMS002_047e_Rb_S197_L004	143305	75014	71607	13	0	908	420	122	2377	0	68291
CMS002_047f_Rb_S198_L004	115957	56338	52463	0	0	886	629	2119	870	0	59619
CMS002_047g_Rb_S200_L004	124434	90029	88205	11	0	180	81	1436	208	0	34405
CMS002_047h_Rb_S1_L004	77038	24988	23498	0	0	412	306	43	1035	0	52050
CMS002_047i_Rb_S2_L004	95204	28762	27817	0	0	665	593	48	232	0	66442
CMS002_047j_Rb_S3_L004	127863	61347	58891	25	0	1797	436	38	621	0	66516
CMS002_049a_Rb_S4_L004	80683	70917	70608	0	0	207	37	102	0	0	9766
CMS002_050a_Rb_S5_L004	3721	2031	0	0	0	7	7	2024	0	0	1690
CMS002_051a_Rb_S6_L004	138060	131375	119221	0	0	30	12	11836	288	0	6685
CMS002_053a_Rb_S7_L004	1119466	524558	471077	0	0	17818	10599	13114	22549	0	594908
CMS002_054a_Rb_S8_L004	84346	80422	74047	0	0	15	3	6360	0	0	3924
CMS002_056a_Rb_S9_L004	410332	286935	284442	1426	0	1059	563	50	1384	0	123397
CMS002_057a_Rb_S10_L004	49467	44063	41638	0	0	103	20	2322	0	0	5404
Placeholder	0	0	0	0	0	0	0	0	0	0	0
