sample_name,uploader,upload_date,runtime_seconds,overall_job_status,num_input_files,total_reads,nonhost_reads,nonhost_reads_percent,ercc_reads,subsampled_fraction,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes,sample_diagnosis
MOS002-01a-hom-R1,Amy Kistler,10/5/18 18:20,3610,COMPLETE,2,26765390,58592,0.219,4862,1,63.107,1.66,Insect abdomen,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-001",flavivirus spike-in
MOS002-02a-hom-R1,Amy Kistler,10/6/18 7:41,2828,COMPLETE,2,30669608,32320,0.105,6994,1,62.672,1.51,Insect abdomen,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-002",flavivirus spike-in
MOS002-03a-hom-R1,Amy Kistler,10/6/18 7:44,3008,COMPLETE,2,33723700,37872,0.112,7900,1,58.779,1.44,Insect abdomen,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-003",flavivirus spike-in
MOS002-04a-hom-R1,Amy Kistler,10/6/18 7:46,3383,COMPLETE,2,47251396,50322,0.106,10884,1,63.561,1.69,Insect abdomen,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-003",flavivirus spike-in
MOS002-05a-hom-R1,Amy Kistler,10/6/18 7:48,2824,COMPLETE,2,26482816,55990,0.211,8280,1,69.914,1.5,Insect abdomen,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-005",flavivirus spike-in
MOS002-06a-W-R1,Amy Kistler,10/7/18 14:18,4123,COMPLETE,2,44870242,212768,0.474,8140,1,75.459,1.84,Whole insect,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot-006",
MOS002-07a-W-R1,Amy Kistler,10/7/18 14:22,4183,COMPLETE,2,41267624,182510,0.442,7260,1,67.823,1.86,Whole insect,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-007",
MOS002-08a-W-R1,Amy Kistler,10/7/18 14:23,3589,COMPLETE,2,38844270,168044,0.433,6590,1,71.497,1.71,Whole insect,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y",
MOS002-09a-W-R1,Amy Kistler,10/7/18 14:24,5831,COMPLETE,2,59641536,325054,0.545,14146,1,76.373,1.97,Whole insect,RNA,lab,Mosquito,"-collaborator id: Pilot18-009 
- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-009",
MOS002-10a-W-R1,Amy Kistler,10/6/18 11:51,5035,COMPLETE,2,56352198,185002,0.328,9010,1,76.02,1.8,Whole insect,RNA,lab,Mosquito,"- id_method : freeze
- genus_species: Culex quinquefasciatus
- Number of mosquitos: 1
- Sex: n/a
- Blood fed: Y
- CDC id: lab_Pilot 18-010",
