,cluster,kingdom
2363,1133,Eukaryota
5511,1137,Eukaryota
4528,1142,Eukaryota
2541,1145,Eukaryota
5989,1153,Eukaryota
2322,1156,Bacteria
6482,1158,Viruses
1052,1160,Viruses
4896,1163,Viruses
1517,1168,Viruses
4691,1170,Viruses
2138,1175,Eukaryota
290,1177,Eukaryota
2681,1181,Viruses
6584,1184,Eukaryota
4309,1185,Eukaryota
397,1187,Eukaryota
4072,1191,Eukaryota
4930,1192,Eukaryota
303,1202,Eukaryota
4022,1204,Viruses
6058,1208,Eukaryota
4490,1215,Eukaryota
3637,1220,Viruses
1176,1221,Eukaryota
402,1234,
6399,1243,Eukaryota
5910,1245,Eukaryota
2221,1249,
274,1252,Eukaryota
3194,1275,Eukaryota
2666,1278,Bacteria
5019,1282,Eukaryota
5612,1288,Eukaryota
2237,1294,Bacteria
776,1302,Eukaryota
5103,1306,Bacteria
5426,1307,Eukaryota
3312,1312,Eukaryota
6830,1318,Eukaryota
2860,1323,Eukaryota
5186,1324,Eukaryota
2566,1333,Eukaryota
4197,1335,Bacteria
315,1336,Eukaryota
4500,1347,Eukaryota
813,1350,Eukaryota
3244,1357,Eukaryota
4482,1361,Eukaryota
2111,1370,
960,1378,Eukaryota
2042,1385,Eukaryota
2235,1392,Viruses
3306,1393,Eukaryota
5449,1399,Viruses
4230,1403,Eukaryota
179,1429,Eukaryota
6726,1438,Viruses
3156,1439,Eukaryota
843,1444,Viruses
1986,1446,Eukaryota
1293,1451,Eukaryota
1330,1453,Eukaryota
915,1456,Eukaryota
2838,1458,Eukaryota
3159,1467,Eukaryota
1275,1470,Bacteria
5569,1476,Eukaryota
3198,1479,Viruses
3286,1484,Bacteria
538,1503,Eukaryota
1916,1513,Viruses
375,1514,Viruses
1402,1522,Viruses
2117,1525,Viruses
3586,1527,Eukaryota
42,1543,Viruses
1421,1547,Eukaryota
1976,1550,Eukaryota
5859,1552,Eukaryota
299,1555,Eukaryota
6470,1559,Eukaryota
169,1562,Eukaryota
5774,1569,Bacteria
6853,1574,Eukaryota
2735,1576,Eukaryota
4966,1578,Eukaryota
3572,1581,Eukaryota
6251,1585,
3853,1607,Eukaryota
1426,1610,Viruses
1669,1611,Eukaryota
3107,1613,Viruses
3839,1621,Viruses
215,1628,Eukaryota
4766,1631,Viruses
2057,1633,Eukaryota
368,1643,Eukaryota
62,1648,Viruses
3055,1658,Eukaryota
1545,1674,Eukaryota
2751,1677,Eukaryota
973,1679,Eukaryota
903,1680,Eukaryota
1556,1683,Eukaryota
399,1688,
4629,1689,Eukaryota
199,1690,Eukaryota
987,1696,Eukaryota
5392,1702,Eukaryota
3130,1711,Eukaryota
1274,1728,Eukaryota
6370,1730,Eukaryota
2074,1733,Eukaryota
530,1737,Eukaryota
4983,1745,Viruses
6054,1747,Eukaryota
6610,1752,Eukaryota
1415,1766,Viruses
5361,1773,
4630,1779,Bacteria
5561,1780,Eukaryota
1627,1781,Bacteria
907,1787,Eukaryota
4413,1790,Eukaryota
808,1791,Viruses
1740,1802,Eukaryota
2682,1803,Eukaryota
212,1807,Eukaryota
2800,1809,Eukaryota
1470,1813,Viruses
339,1819,Eukaryota
2216,1822,Eukaryota
6596,1830,Eukaryota
1503,1832,Eukaryota
1568,1835,Eukaryota
5046,1836,Bacteria
1482,1838,Eukaryota
5049,1842,Eukaryota
2411,1843,Eukaryota
265,1845,Bacteria
2001,1846,Eukaryota
107,1854,Eukaryota
166,1857,Bacteria
1486,1859,Eukaryota
1495,1868,Eukaryota
1757,1875,Eukaryota
705,1878,Eukaryota
2477,1885,Eukaryota
2380,1895,Bacteria
4006,1897,Viruses
4244,1900,Eukaryota
1027,1910,Bacteria
5027,1911,Eukaryota
5317,1931,Eukaryota
6397,1933,Bacteria
1041,1957,Eukaryota
5758,1958,Bacteria
4017,1970,Eukaryota
6150,1981,Bacteria
542,1985,Eukaryota
1029,1990,Eukaryota
3526,1993,Eukaryota
3363,2000,Eukaryota
2843,2017,Eukaryota
6426,2018,Eukaryota
3265,2021,Eukaryota
251,2028,Eukaryota
1823,2030,Eukaryota
4403,2032,
4944,2034,Eukaryota
2109,2042,Eukaryota
1849,2052,Viruses
465,2054,Viruses
33,2061,
5757,2065,Eukaryota
1689,2075,Eukaryota
5671,2076,Bacteria
2725,2082,Bacteria
3827,2086,Eukaryota
5840,2089,Eukaryota
5625,2093,
3528,2097,Eukaryota
631,2098,Bacteria
1221,2101,Eukaryota
953,2107,Eukaryota
5059,2109,Eukaryota
6855,2113,Bacteria
5504,2114,Eukaryota
5838,2116,Eukaryota
2585,2118,Viruses
225,2120,Eukaryota
445,2123,Eukaryota
939,2132,Eukaryota
5850,2133,Eukaryota
2476,2137,Eukaryota
2291,2139,Eukaryota
1240,2152,Eukaryota
3197,2154,Eukaryota
1453,2161,Eukaryota
412,2170,Eukaryota
4477,2177,Eukaryota
4246,2185,Bacteria
531,2198,Eukaryota
110,2203,Eukaryota
5557,2226,Viruses
3128,2234,Bacteria
4247,2236,Eukaryota
5371,2253,Eukaryota
4337,2255,Bacteria
4165,2258,Eukaryota
6292,2278,Eukaryota
