,cluster,kingdom
6757,7559,Bacteria
3182,7563,Eukaryota
6852,7587,Eukaryota
1340,7594,Eukaryota
617,7597,Bacteria
3155,7598,Eukaryota
1989,7603,Bacteria
6834,7617,
6706,7621,Eukaryota
710,7626,Eukaryota
1686,7646,Eukaryota
3656,7653,Eukaryota
2634,7656,Eukaryota
3661,7661,Eukaryota
5842,7687,Eukaryota
6734,7690,Bacteria
6048,7706,Eukaryota
5786,7707,Eukaryota
1837,7708,Bacteria
1337,7710,Eukaryota
4848,7715,Viruses
125,7720,Eukaryota
6427,7737,Eukaryota
5697,7745,Eukaryota
3475,7746,Eukaryota
3134,7747,Bacteria
5947,7749,Eukaryota
2445,7773,Eukaryota
6258,7780,Eukaryota
804,7796,Eukaryota
3832,7802,Eukaryota
2340,7815,Bacteria
2948,7818,Eukaryota
1724,7851,
2580,7873,Eukaryota
6099,7888,Eukaryota
6848,7907,Eukaryota
2250,7911,Bacteria
2908,7916,Eukaryota
2177,7923,Bacteria
5015,7944,Eukaryota
3241,7955,Viruses
0,7957,
325,7964,Eukaryota
6170,7970,Eukaryota
3429,7971,Eukaryota
5480,7973,Eukaryota
1017,7980,Eukaryota
2240,7985,Eukaryota
3117,7989,Eukaryota
6735,7990,Eukaryota
3751,7991,Eukaryota
757,8001,Eukaryota
5197,8005,Bacteria
2925,8038,Eukaryota
991,8041,Eukaryota
3792,8044,Eukaryota
3357,8057,Eukaryota
5635,8066,Eukaryota
3474,8085,Eukaryota
5933,8104,Eukaryota
295,8108,Eukaryota
222,8113,Eukaryota
6672,8117,Eukaryota
6617,8131,Bacteria
1000,8134,
4079,8137,Eukaryota
6879,8151,Eukaryota
5746,8154,Eukaryota
5410,8175,Bacteria
6171,8179,Bacteria
552,8191,Eukaryota
5517,8194,Eukaryota
2554,8211,Eukaryota
491,8218,Eukaryota
1051,8231,Viruses
2092,8265,Bacteria
4214,8276,Eukaryota
292,8286,
1539,8288,Eukaryota
1020,8301,Eukaryota
4915,8306,Eukaryota
5497,8310,Eukaryota
3433,8315,Eukaryota
5175,8323,Eukaryota
4077,8331,Bacteria
3889,8351,Eukaryota
613,8354,Eukaryota
1045,8365,Eukaryota
197,8366,Eukaryota
6216,8368,Eukaryota
3172,8371,Bacteria
3794,8389,Eukaryota
4738,8397,Eukaryota
1186,8398,Eukaryota
327,8404,Eukaryota
3785,8411,Eukaryota
6309,8416,Bacteria
2630,8435,Bacteria
1972,8455,Eukaryota
6739,8481,Eukaryota
2430,8500,Eukaryota
4034,8529,Eukaryota
6008,8536,Eukaryota
6401,8537,Eukaryota
1437,8542,Eukaryota
884,8558,Eukaryota
2403,8576,Eukaryota
879,8583,
1716,8590,Eukaryota
1694,8603,Eukaryota
5936,8604,Eukaryota
5764,8608,Eukaryota
6828,8621,Eukaryota
1587,8625,Eukaryota
1732,8642,Eukaryota
3928,8645,Bacteria
5148,8652,Eukaryota
5583,8678,Bacteria
6096,8679,Eukaryota
1485,8682,Eukaryota
4363,8700,Eukaryota
1317,8706,Viruses
5252,8720,Eukaryota
2088,8726,Eukaryota
519,8739,Eukaryota
6314,8754,Viruses
6076,8759,Eukaryota
6179,8764,Bacteria
1975,8789,Eukaryota
5184,8791,Eukaryota
193,8792,Eukaryota
1802,8806,
3163,8810,Eukaryota
2123,8815,Eukaryota
458,8833,Bacteria
1302,8835,Eukaryota
2803,8858,
3862,8865,Eukaryota
6674,8872,Eukaryota
5725,8874,Viruses
2709,8884,Eukaryota
5235,8888,Eukaryota
6200,8901,Bacteria
4370,8903,Bacteria
850,8910,Bacteria
6312,8920,
5509,8923,Eukaryota
5270,8928,Eukaryota
1079,8935,Bacteria
1770,8942,Eukaryota
2029,8950,Bacteria
4507,8954,Eukaryota
4708,8963,Eukaryota
725,8967,Eukaryota
4503,8968,Eukaryota
906,8977,Eukaryota
4085,8978,Eukaryota
4771,8991,Bacteria
163,9023,Eukaryota
3404,9035,Eukaryota
1420,9041,Eukaryota
3049,9043,Eukaryota
5451,9049,Eukaryota
4622,9064,Eukaryota
2813,9069,Viruses
4209,9076,Eukaryota
3504,9090,
13,9092,Eukaryota
2401,9102,Bacteria
1542,9107,Eukaryota
2847,9118,Eukaryota
4457,9126,Eukaryota
1775,9137,Eukaryota
2059,9140,Eukaryota
6486,9166,Eukaryota
4276,9169,Eukaryota
5702,9176,Eukaryota
5008,9181,Eukaryota
4317,9191,Viruses
6067,9219,Eukaryota
1642,9224,Eukaryota
4320,9226,Bacteria
175,9247,Eukaryota
2400,9257,Bacteria
345,9258,Bacteria
6635,9269,Eukaryota
6595,9276,Bacteria
6622,9277,Eukaryota
1588,9281,Eukaryota
2326,9290,Eukaryota
1701,9295,Eukaryota
4804,9299,Eukaryota
5354,9323,Eukaryota
244,9329,Eukaryota
483,9340,Eukaryota
4518,9352,Eukaryota
4573,9354,Eukaryota
6871,9372,Bacteria
1586,9382,Eukaryota
3798,9394,Eukaryota
2317,9411,Eukaryota
4396,9421,
2960,9425,Eukaryota
200,9431,Eukaryota
5967,9443,Eukaryota
5178,9454,Bacteria
3567,9455,Bacteria
2631,9491,Eukaryota
2834,9512,Eukaryota
5540,9514,Eukaryota
1430,9516,Eukaryota
1666,9520,Eukaryota
722,9528,Eukaryota
405,9553,Eukaryota
4900,9560,Eukaryota
3203,9567,
4605,9571,Bacteria
4045,9582,
6420,9631,
3592,9632,
230,9651,Eukaryota
2641,9652,Eukaryota
5014,9656,Eukaryota
414,9659,Eukaryota
2193,9662,Bacteria
309,9664,Eukaryota
4439,9666,Eukaryota
583,9676,Eukaryota
3532,9689,Eukaryota
3505,9695,Eukaryota
605,9699,Eukaryota
2951,9714,Bacteria
3366,9716,Eukaryota
1743,9721,Bacteria
557,9727,Viruses
5054,9731,Eukaryota
30,9749,Eukaryota
1514,9750,Bacteria
4338,9752,Eukaryota
318,9766,Eukaryota
5348,9768,Bacteria
5748,9780,Eukaryota
3970,9785,Eukaryota
4063,9786,Eukaryota
4242,9788,Eukaryota
6785,9792,Bacteria
764,9793,
4742,9803,Eukaryota
2382,9815,Eukaryota
4936,9818,Eukaryota
3995,9822,Bacteria
5926,9835,Bacteria
4128,9841,
2547,9871,Eukaryota
410,9879,Eukaryota
2261,9909,Eukaryota
818,9923,Bacteria
3937,9942,Eukaryota
2787,9950,Bacteria
656,9957,Eukaryota
4538,9971,Bacteria
2530,9972,Eukaryota
924,9979,Bacteria
1592,9990,Eukaryota
735,9992,Eukaryota
2889,9995,Eukaryota
1726,10004,Eukaryota
4025,10028,Viruses
6430,10031,Eukaryota
6552,10033,Eukaryota
1464,10035,Eukaryota
6328,10040,Eukaryota
773,10043,Bacteria
1058,10044,Eukaryota
223,10046,Eukaryota
4828,10060,Eukaryota
1848,10069,Bacteria
2687,10072,Eukaryota
2458,10086,Eukaryota
1204,10094,Eukaryota
321,10099,Eukaryota
577,10112,Eukaryota
1544,10137,Eukaryota
6238,10169,Eukaryota
559,10179,Eukaryota
494,10180,Eukaryota
6639,10191,Eukaryota
6443,10194,Eukaryota
1497,10202,Eukaryota
6207,10204,
723,10219,Eukaryota
4845,10222,Eukaryota
6237,10236,Eukaryota
14,10244,Eukaryota
3179,10245,Eukaryota
4978,10250,Eukaryota
180,10261,Eukaryota
756,10263,Eukaryota
6781,10265,Viruses
598,10276,Eukaryota
537,10280,Eukaryota
1878,10287,Bacteria
1554,10291,Eukaryota
3715,10305,Eukaryota
5749,10324,
2328,10330,Eukaryota
794,10333,Eukaryota
626,10341,Eukaryota
4056,10349,Eukaryota
5269,10358,Eukaryota
3901,10369,Bacteria
5331,10381,Eukaryota
2384,10384,Bacteria
6044,10389,Eukaryota
6744,10400,Eukaryota
6669,10414,Eukaryota
6479,10416,Eukaryota
1559,10448,Eukaryota
1977,10450,Bacteria
5196,10464,Eukaryota
5532,10466,Bacteria
2854,10476,Eukaryota
1091,10481,Eukaryota
2586,10485,Eukaryota
359,10493,Eukaryota
173,10512,Eukaryota
1068,10521,Bacteria
5905,10523,
3460,10534,Eukaryota
741,10539,Eukaryota
6718,10542,Bacteria
3217,10551,Eukaryota
3056,10557,Eukaryota
1030,10558,Eukaryota
6168,10568,Eukaryota
4275,10579,Viruses
5636,10584,Eukaryota
5866,10595,Eukaryota
5069,10603,Bacteria
4861,10609,Eukaryota
6741,10614,
3277,10626,Eukaryota
3989,10634,Bacteria
4795,10662,Eukaryota
3126,10668,Eukaryota
4660,10683,Eukaryota
4464,10694,Eukaryota
4931,10707,Bacteria
416,10750,Viruses
4913,10753,Eukaryota
1401,10762,Eukaryota
6332,10773,Eukaryota
5328,10786,Eukaryota
4280,10791,Viruses
1601,10797,Eukaryota
2752,10800,Eukaryota
2233,10805,Eukaryota
5633,10809,Eukaryota
2520,10810,Eukaryota
4726,10817,Viruses
1170,10827,Eukaryota
2506,10833,Eukaryota
6753,10856,Eukaryota
6107,10859,Eukaryota
2381,10874,Eukaryota
3149,10880,Eukaryota
4409,10885,Eukaryota
1140,10890,Bacteria
2339,10895,Eukaryota
2523,10899,Eukaryota
1509,10906,Eukaryota
4166,10917,Eukaryota
4701,10928,Eukaryota
2465,10938,Eukaryota
3574,10940,Eukaryota
1036,10951,
5090,10967,Eukaryota
5391,10970,Eukaryota
4310,10974,Bacteria
3394,10989,Eukaryota
2478,10991,Eukaryota
6106,10998,Eukaryota
3221,10999,Eukaryota
5399,11002,Eukaryota
5745,11019,Eukaryota
2958,11028,Bacteria
3790,11030,Eukaryota
1725,11036,Viruses
6682,11048,Eukaryota
3722,11056,Bacteria
1195,11057,Bacteria
3714,11071,Eukaryota
1984,11097,Eukaryota
182,11107,Eukaryota
6413,11113,Eukaryota
3044,11117,Eukaryota
4080,11122,Eukaryota
3840,11151,Eukaryota
5701,11155,Eukaryota
3654,11171,Eukaryota
883,11172,Eukaryota
2131,11176,Eukaryota
1709,11179,Eukaryota
3973,11186,Bacteria
2259,11196,Eukaryota
5752,11207,Bacteria
6434,11228,Eukaryota
3521,11255,Eukaryota
3508,11272,Eukaryota
4783,11277,Viruses
6130,11279,Eukaryota
5647,11280,Eukaryota
2783,11283,Bacteria
4907,11298,Eukaryota
5068,11301,Eukaryota
2293,11324,Eukaryota
3278,11330,Eukaryota
5444,11338,Eukaryota
1546,11343,Eukaryota
5324,11349,Eukaryota
2561,11356,Bacteria
4411,11357,
385,11369,Eukaryota
4675,11377,
2303,11399,
3886,11410,Bacteria
1220,11411,Eukaryota
1236,11419,Eukaryota
3662,11420,Bacteria
4663,11425,Bacteria
5903,11467,Eukaryota
6836,11485,Eukaryota
2767,11486,Eukaryota
5653,11495,Eukaryota
2581,11502,Eukaryota
4354,11521,Eukaryota
4042,11524,Eukaryota
6579,11552,Eukaryota
1191,11557,
950,11570,Bacteria
4787,11573,Eukaryota
466,11575,Eukaryota
1563,11577,Viruses
3371,11582,Eukaryota
785,11593,Eukaryota
4989,11600,Eukaryota
5254,11613,Eukaryota
4502,11616,Eukaryota
4454,11626,Eukaryota
6643,11627,Eukaryota
1252,11633,Eukaryota
1234,11676,Eukaryota
5206,11690,Eukaryota
4958,11698,Eukaryota
2558,11725,Eukaryota
1120,11738,Eukaryota
6526,11742,Eukaryota
5216,11754,Eukaryota
6086,11764,Eukaryota
2550,11768,Bacteria
1479,11771,Eukaryota
3229,11772,Eukaryota
5204,11775,Bacteria
2582,11783,Eukaryota
6654,11788,Eukaryota
287,11794,Eukaryota
524,11797,Bacteria
853,11808,Eukaryota
469,11825,Eukaryota
5917,11830,Eukaryota
6160,11837,Eukaryota
534,11843,Archaea
1141,11864,Bacteria
6564,11870,Eukaryota
2790,11874,Eukaryota
5616,11891,Eukaryota
2863,11901,
392,11924,Eukaryota
4603,11926,Eukaryota
6884,11933,
6606,11951,Eukaryota
4295,11952,Eukaryota
1637,11965,Eukaryota
993,11978,Eukaryota
4638,11995,Eukaryota
3283,11997,Eukaryota
2062,12001,Eukaryota
2732,12008,
6536,12011,Viruses
1718,12044,Eukaryota
6767,12045,Eukaryota
5952,12058,Bacteria
1882,12062,Eukaryota
5140,12069,Eukaryota
2545,12080,Eukaryota
3324,12088,Bacteria
5253,12106,Eukaryota
2967,12113,Bacteria
3495,12126,Bacteria
6473,12129,Eukaryota
765,12132,Eukaryota
1805,12143,Eukaryota
2880,12154,Eukaryota
6549,12155,Eukaryota
6790,12159,Bacteria
2733,12190,Eukaryota
543,12195,Eukaryota
1353,12199,Eukaryota
5902,12217,Eukaryota
5205,12232,Eukaryota
3078,12236,
1081,12240,Eukaryota
6197,12244,Eukaryota
6504,12254,Bacteria
2086,12259,Viruses
4472,12262,Eukaryota
6722,12266,Eukaryota
3220,12268,Eukaryota
6792,12269,Eukaryota
1899,12273,Eukaryota
1190,12282,Eukaryota
3050,12283,Eukaryota
2987,12290,Eukaryota
2548,12294,Bacteria
3337,12307,Eukaryota
3192,12313,Eukaryota
252,12314,Eukaryota
6271,12326,Eukaryota
5453,12330,Eukaryota
4157,12343,Eukaryota
5856,12365,Eukaryota
3485,12376,
781,12377,Bacteria
4430,12383,Eukaryota
3218,12387,
4946,12389,Eukaryota
3576,12392,Eukaryota
6209,12401,Eukaryota
2026,12406,Eukaryota
1871,12421,Eukaryota
2292,12473,Archaea
1411,12506,Viruses
3962,12551,Eukaryota
4228,12568,Eukaryota
5719,12578,Eukaryota
2192,12587,Eukaryota
6454,12590,Bacteria
591,12601,Eukaryota
5938,12609,Eukaryota
2605,12665,Eukaryota
5651,12675,Eukaryota
541,12680,Eukaryota
6815,12684,Eukaryota
6098,12703,Eukaryota
451,12705,Eukaryota
3594,12709,Eukaryota
235,12717,Eukaryota
2978,12720,Eukaryota
5005,12730,Eukaryota
3140,12731,Eukaryota
4176,12732,Eukaryota
1226,12733,Eukaryota
5228,12737,Eukaryota
5961,12740,Eukaryota
1614,12764,Eukaryota
4287,12770,Eukaryota
4916,12771,Viruses
5053,12774,Eukaryota
623,12780,Eukaryota
3896,12784,Bacteria
5435,12787,Eukaryota
4105,12807,Eukaryota
5268,12816,Eukaryota
616,12848,Bacteria
4011,12855,Eukaryota
4974,12857,Eukaryota
3745,12873,Eukaryota
3080,12888,Bacteria
4817,12894,Bacteria
3615,12900,
5970,12901,
2893,12913,Eukaryota
5466,12914,Eukaryota
4329,12926,Eukaryota
1865,12929,Eukaryota
487,12938,Eukaryota
3212,12950,Bacteria
855,12956,Eukaryota
1019,12957,Eukaryota
6861,12958,Bacteria
6175,12975,Bacteria
3717,12977,
3120,12985,Eukaryota
997,12988,Eukaryota
1629,12996,Eukaryota
63,12998,
5857,13007,Bacteria
654,13012,Eukaryota
6267,13013,Eukaryota
4137,13017,Eukaryota
2776,13019,Eukaryota
4973,13023,Eukaryota
1572,13062,Eukaryota
4001,13063,Eukaryota
5332,13078,Eukaryota
1260,13093,Eukaryota
931,13096,Eukaryota
1742,13102,Bacteria
5950,13130,Eukaryota
5839,13136,Eukaryota
3846,13149,Eukaryota
3856,13154,Eukaryota
2891,13159,Eukaryota
6074,13192,Eukaryota
838,13196,Viruses
5437,13206,Eukaryota
5202,13217,Bacteria
6050,13219,Viruses
4775,13223,Eukaryota
3812,13229,Bacteria
1832,13250,Bacteria
6685,13267,
4199,13291,Eukaryota
3026,13300,Bacteria
1,13351,Eukaryota
2606,13353,Eukaryota
413,13360,Eukaryota
5738,13369,Eukaryota
3919,13374,Eukaryota
4404,13384,Eukaryota
2533,13385,Eukaryota
2564,13392,Eukaryota
6876,13395,Bacteria
3339,13404,Eukaryota
3759,13412,Eukaryota
2103,13426,Eukaryota
692,13435,Eukaryota
2374,13440,Eukaryota
2311,13453,Eukaryota
1410,13466,Eukaryota
5419,13473,Bacteria
2961,13478,Bacteria
2781,13492,Eukaryota
46,13500,Eukaryota
1829,13506,Eukaryota
3916,13521,Eukaryota
3137,13529,Eukaryota
6594,13537,Eukaryota
6359,13540,Eukaryota
5797,13541,Eukaryota
6518,13560,Eukaryota
5796,13561,Eukaryota
1739,13572,Bacteria
479,13587,
4585,13595,Eukaryota
6217,13600,Eukaryota
4259,13605,
6881,13609,Bacteria
959,13611,Eukaryota
2181,13613,
4091,13616,Eukaryota
160,13618,Eukaryota
6374,13632,Eukaryota
454,13636,Eukaryota
3635,13656,Viruses
4311,13663,Eukaryota
6655,13673,Bacteria
52,13698,Bacteria
6400,13713,Eukaryota
3518,13716,Eukaryota
2674,13717,Eukaryota
6517,13723,Eukaryota
4122,13731,Eukaryota
3826,13736,Eukaryota
5814,13741,Eukaryota
5037,13757,Eukaryota
5924,13791,Eukaryota
4359,13792,Bacteria
1541,13796,Bacteria
2662,13800,Eukaryota
3875,13811,Eukaryota
1212,13812,Eukaryota
6244,13813,Eukaryota
919,13822,Eukaryota
1761,13830,Eukaryota
5687,13835,Eukaryota
2510,13849,Eukaryota
4597,13853,Eukaryota
5524,13868,
267,13870,Eukaryota
5087,13872,Eukaryota
1603,13880,Eukaryota
3949,13883,Bacteria
6113,13893,Eukaryota
4016,13896,Eukaryota
6022,13906,Eukaryota
5411,13914,Eukaryota
3627,13921,Eukaryota
1797,13929,Eukaryota
1578,13936,Viruses
6837,13948,Eukaryota
6777,13956,Eukaryota
3799,13964,Eukaryota
5880,13965,Eukaryota
6561,13974,Bacteria
1086,13980,Eukaryota
902,13981,
6607,14003,Eukaryota
2287,14039,Bacteria
1078,14058,Eukaryota
4711,14061,Bacteria
3457,14067,Eukaryota
489,14079,Eukaryota
2569,14080,Bacteria
6441,14090,Eukaryota
5634,14102,Bacteria
5777,14106,Viruses
3476,14111,Bacteria
2980,14116,Eukaryota
948,14122,Viruses
4208,14123,Eukaryota
2158,14133,
5271,14160,Eukaryota
153,14173,Eukaryota
6889,14176,Eukaryota
4998,14207,Bacteria
1852,14213,Eukaryota
5732,14227,Eukaryota
3391,14233,Bacteria
3451,14237,Bacteria
4947,14265,Bacteria
5309,14279,Eukaryota
2154,14284,Eukaryota
3259,14286,
4050,14287,Eukaryota
4492,14289,Eukaryota
2653,14290,Bacteria
1594,14291,Eukaryota
2648,14318,Eukaryota
2355,14321,Eukaryota
2120,14367,Eukaryota
4631,14369,Eukaryota
6041,14399,Eukaryota
3467,14404,Bacteria
1534,14419,Eukaryota
2264,14424,
486,14425,Eukaryota
25,14429,Eukaryota
4348,14443,Eukaryota
3527,14460,Bacteria
5374,14477,Eukaryota
5884,14478,Bacteria
5403,14483,Eukaryota
5770,14493,Eukaryota
5744,14501,
2151,14505,Eukaryota
3841,14507,Viruses
5795,14510,Eukaryota
2223,14511,Eukaryota
3031,14550,Eukaryota
1251,14559,Viruses
1638,14560,Eukaryota
6407,14561,Eukaryota
3420,14570,Bacteria
2921,14576,Eukaryota
1628,14579,Eukaryota
4358,14603,Bacteria
636,14612,Bacteria
6481,14619,Eukaryota
2078,14630,Eukaryota
4533,14644,Eukaryota
5249,14667,Eukaryota
4394,14676,Eukaryota
3977,14681,Eukaryota
2490,14682,Eukaryota
851,14691,Eukaryota
6523,14692,Eukaryota
2137,14716,Eukaryota
36,14719,Eukaryota
4836,14724,Eukaryota
6542,14743,Eukaryota
5677,14758,
5144,14767,Eukaryota
585,14769,Eukaryota
6196,14771,Eukaryota
811,14802,
3461,14809,Eukaryota
5279,14826,Eukaryota
5432,14828,Eukaryota
2658,14835,Eukaryota
4371,14837,Eukaryota
4785,14858,Eukaryota
1811,14862,Bacteria
727,14880,Eukaryota
4593,14889,Eukaryota
1632,14891,Bacteria
981,14892,Eukaryota
6079,14904,Eukaryota
6452,14921,Eukaryota
2136,14927,Bacteria
5768,14949,Eukaryota
2022,14952,Bacteria
3398,14960,Eukaryota
6367,14977,Eukaryota
4062,14985,Eukaryota
1533,14989,Eukaryota
3114,14991,Eukaryota
482,14995,Eukaryota
3700,15001,Bacteria
4680,15003,Eukaryota
5240,15010,Eukaryota
1623,15040,
278,15075,Eukaryota
2870,15088,Eukaryota
3038,15090,Eukaryota
635,15100,Eukaryota
3878,15129,Eukaryota
1795,15137,Bacteria
1484,15154,Eukaryota
5305,15165,Eukaryota
3994,15186,Eukaryota
2300,15203,Bacteria
3609,15204,Eukaryota
3959,15218,Viruses
2421,15222,Eukaryota
2749,15228,Eukaryota
317,15235,Eukaryota
2467,15240,Eukaryota
935,15249,
5531,15252,Eukaryota
4673,15254,Viruses
6649,15257,Viruses
1487,15260,Bacteria
5032,15263,Eukaryota
4885,15279,Eukaryota
6476,15291,
4130,15307,Eukaryota
4047,15338,Eukaryota
3372,15350,Bacteria
5347,15356,Eukaryota
1712,15358,
5225,15365,Eukaryota
4596,15376,Eukaryota
1824,15395,Bacteria
3613,15398,Eukaryota
3158,15399,Eukaryota
4237,15402,Eukaryota
6719,15407,Eukaryota
4779,15416,Eukaryota
1833,15425,Eukaryota
1996,15468,Bacteria
5259,15472,Eukaryota
2383,15489,Eukaryota
5222,15496,Eukaryota
2570,15497,Bacteria
3427,15500,Eukaryota
4388,15505,Bacteria
3641,15510,Eukaryota
2846,15516,Eukaryota
5863,15539,Eukaryota
5739,15541,Bacteria
1801,15542,Eukaryota
6331,15543,Eukaryota
826,15564,Eukaryota
1328,15591,Bacteria
4935,15594,Eukaryota
2835,15601,
2071,15608,Eukaryota
5170,15636,Eukaryota
3513,15651,Bacteria
3770,15652,Eukaryota
745,15682,Eukaryota
759,15683,Eukaryota
2165,15684,Eukaryota
205,15710,Eukaryota
312,15712,Eukaryota
803,15713,Eukaryota
4211,15716,Eukaryota
5728,15732,Eukaryota
6419,15745,Eukaryota
5443,15758,Eukaryota
5062,15797,Eukaryota
4217,15813,Eukaryota
4762,15832,Eukaryota
2481,15840,Eukaryota
1555,15852,Eukaryota
5076,15853,Eukaryota
6317,15869,Eukaryota
6503,15875,Eukaryota
2501,15879,Bacteria
3590,15889,Eukaryota
3059,15890,Eukaryota
2210,15894,Eukaryota
5897,15896,Eukaryota
1062,15901,Eukaryota
5729,15904,Eukaryota
581,15927,Eukaryota
5483,15933,Bacteria
2929,15944,Eukaryota
3726,15956,Bacteria
2015,15964,Eukaryota
4862,15966,Eukaryota
1381,15969,Eukaryota
2633,15976,Eukaryota
4556,15978,Eukaryota
5780,15986,Eukaryota
5192,15990,Eukaryota
411,16005,Eukaryota
1786,16014,Bacteria
3311,16018,Bacteria
6686,16027,Viruses
1604,16047,Eukaryota
630,16059,Eukaryota
1132,16064,Eukaryota
4008,16080,Eukaryota
4343,16090,Bacteria
3484,16104,Eukaryota
2484,16122,Eukaryota
5072,16132,Bacteria
3921,16144,Bacteria
188,16156,
2295,16160,Bacteria
6598,16177,Bacteria
5181,16180,Eukaryota
3251,16217,Eukaryota
2391,16226,Eukaryota
4889,16260,Eukaryota
2132,16265,Eukaryota
3247,16266,Eukaryota
4809,16269,Eukaryota
3083,16275,Bacteria
652,16278,Eukaryota
3242,16282,Bacteria
1187,16285,Bacteria
4339,16293,
4722,16294,Eukaryota
5484,16307,Eukaryota
6261,16319,Eukaryota
4002,16345,Eukaryota
241,16353,Eukaryota
6601,16375,Eukaryota
5665,16378,Viruses
2242,16380,Eukaryota
3685,16413,Bacteria
2668,16475,Eukaryota
4312,16482,Eukaryota
4892,16495,Eukaryota
4822,16502,Bacteria
3462,16516,Eukaryota
4770,16521,Eukaryota
1405,16527,Eukaryota
6591,16530,Eukaryota
5733,16548,Eukaryota
2203,16563,Eukaryota
3489,16570,Eukaryota
2091,16571,Eukaryota
1118,16579,Eukaryota
1682,16593,Bacteria
21,16594,Bacteria
3458,16598,Eukaryota
4905,16600,Bacteria
108,16620,Eukaryota
2750,16645,Eukaryota
4872,16692,Eukaryota
1263,16695,
2049,16703,Eukaryota
6882,16714,Eukaryota
3626,16732,Bacteria
3981,16733,Bacteria
3001,16734,Bacteria
4480,16735,Eukaryota
4073,16736,Eukaryota
5124,16746,Bacteria
1183,16763,Viruses
2639,16785,Eukaryota
6176,16823,Eukaryota
6221,16847,Bacteria
2806,16848,Eukaryota
709,16849,Bacteria
6623,16855,Bacteria
3490,16858,Eukaryota
4960,16863,Eukaryota
6676,16870,Bacteria
1683,16879,Eukaryota
988,16897,Bacteria
1370,16899,Eukaryota
3551,16911,Eukaryota
5074,16945,Bacteria
716,16976,Eukaryota
3801,16980,Eukaryota
337,16989,Eukaryota
4996,16999,Bacteria
4925,17004,Eukaryota
3112,17012,Eukaryota
5292,17019,Bacteria
5500,17023,
4255,17033,Eukaryota
925,17037,Eukaryota
4365,17059,Eukaryota
5375,17065,Eukaryota
4289,17089,Eukaryota
291,17106,Eukaryota
4894,17108,Eukaryota
634,17132,Eukaryota
6826,17137,Eukaryota
6321,17157,Eukaryota
2169,17170,
172,17211,Eukaryota
2190,17271,Eukaryota
1737,17279,
1571,17291,Eukaryota
1384,17301,Eukaryota
3806,17304,Eukaryota
2737,17323,Eukaryota
2622,17332,Eukaryota
5601,17343,Eukaryota
460,17372,Bacteria
3924,17374,Bacteria
3930,17385,Eukaryota
4835,17390,Bacteria
5828,17391,Eukaryota
4839,17392,Eukaryota
3902,17394,Eukaryota
5534,17412,Eukaryota
6457,17419,Eukaryota
2811,17431,Eukaryota
4545,17434,
1652,17441,Eukaryota
4114,17448,Eukaryota
6756,17481,Eukaryota
1121,17497,Eukaryota
6333,17512,Bacteria
238,17521,Eukaryota
6760,17538,Eukaryota
3379,17562,Eukaryota
2200,17567,Bacteria
2562,17580,Bacteria
6318,17581,Eukaryota
4499,17583,Eukaryota
1928,17590,Eukaryota
5995,17605,Bacteria
2054,17632,Bacteria
4790,17637,Viruses
105,17674,Eukaryota
4382,17677,Eukaryota
4170,17687,Eukaryota
4423,17688,Viruses
5047,17697,Eukaryota
6185,17699,Eukaryota
6442,17705,Eukaryota
1301,17710,Bacteria
1001,17712,Eukaryota
1142,17759,Bacteria
1037,17760,Bacteria
3331,17765,Bacteria
2521,17766,Eukaryota
1738,17770,Eukaryota
6222,17794,Eukaryota
6687,17807,Eukaryota
279,17818,Eukaryota
98,17822,Eukaryota
899,17836,Eukaryota
3739,17851,Eukaryota
4204,17863,Eukaryota
5515,17867,Eukaryota
481,17869,Eukaryota
3865,17897,Eukaryota
1269,17915,
4555,17917,Eukaryota
2471,17937,Eukaryota
1225,17939,Eukaryota
1504,17948,Eukaryota
3359,17955,Eukaryota
3580,17957,Eukaryota
4620,17967,Eukaryota
270,17969,Eukaryota
272,17991,Eukaryota
4867,17998,Bacteria
6684,18000,Eukaryota
4709,18005,Eukaryota
5496,18011,Eukaryota
1508,18023,Eukaryota
6037,18040,
328,18083,Eukaryota
1954,18084,Eukaryota
165,18106,Eukaryota
4813,18112,Bacteria
2187,18117,Eukaryota
887,18123,Eukaryota
3754,18154,Eukaryota
3210,18159,Eukaryota
4666,18162,Eukaryota
4215,18167,Eukaryota
1213,18170,Eukaryota
6157,18236,Eukaryota
5154,18251,Eukaryota
3103,18263,Eukaryota
5405,18286,Eukaryota
5965,18289,Eukaryota
4385,18307,Bacteria
6445,18308,Eukaryota
6373,18317,Eukaryota
690,18319,Eukaryota
4591,18332,Eukaryota
5313,18339,Eukaryota
6816,18358,Bacteria
734,18363,Eukaryota
329,18376,Eukaryota
183,18378,Eukaryota
2802,18395,Bacteria
1529,18396,Bacteria
3569,18426,Viruses
4435,18452,Eukaryota
1458,18453,Bacteria
1265,18470,Eukaryota
378,18509,Eukaryota
3438,18522,Eukaryota
4193,18541,Eukaryota
4776,18542,Eukaryota
2251,18544,Eukaryota
2518,18547,Bacteria
3951,18552,Viruses
4634,18560,Eukaryota
2330,18572,Eukaryota
5824,18585,Eukaryota
3793,18595,Eukaryota
2608,18600,
3997,18619,Bacteria
3550,18621,Eukaryota
6387,18637,
3355,18655,Eukaryota
5945,18663,Eukaryota
4728,18671,Eukaryota
901,18687,Eukaryota
4392,18691,Eukaryota
1211,18695,Eukaryota
2694,18698,Bacteria
5044,18737,Eukaryota
