sample_name,uploader,upload_date,runtime_seconds,overall_job_status,total_reads,nonhost_reads,nonhost_reads_percent,quality_control,compression_ratio,tissue_type,nucleotide_type,location,host_genome,notes
CMS_051_RNA_A_S8,,2018-03-26 10:09:24 -0700,8646.0,COMPLETE,30339330,293120,0.966,80.828,1.59,Insect engorged abdomen,RNA,37.506080_-121.998570,Mosquito,Culex tarsalis_10/17/17_Stevenson Pond (Newark)_HubeiMosquitoVirus2-EnvironmentalBunyaviridae-Narnaviridae-WenzhouSobemoLike4
CMS_052_RNA_A_S7,,2018-04-19 14:22:25 -0700,10026.0,COMPLETE,15587242,62714,0.402,75.317,2.13,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS_053_RNA_A_S8,,2018-04-19 14:22:25 -0700,36799.0,COMPLETE,18426770,62304,0.338,61.639,2.02,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_10/7/2017_Coyotes Hills_
CMS_054_RNA_A_S11,,2018-04-15 09:23:03 -0700,10647.0,COMPLETE,34981460,49464,0.141,68.228,1.99,Insect engorged abdomen,RNA,37.630830_-122.142670,Mosquito,Culex pipiens_02/10/16_Dutra Duck Ponds_
CMS_055_RNA_A_S9,,2018-04-19 14:22:25 -0700,13604.0,COMPLETE,15309036,37546,0.245,70.718,1.92,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS_056_RNA_A_S10,,2018-04-19 14:22:25 -0700,17590.0,COMPLETE,16171702,46212,0.286,67.727,1.76,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS_057_RNA_A_S11,,2018-04-19 14:22:25 -0700,10382.0,COMPLETE,16068996,209796,1.306,68.204,1.41,Insect engorged abdomen,RNA,37.55697_-122.07938,Mosquito,Culex_erythrothorax_9/21/2017_Coyotes Hills_
CMS_058_RNA_A_S9,,2018-03-26 10:09:24 -0700,7151.0,COMPLETE,23464710,173816,0.741,78.577,1.59,Insect engorged abdomen,RNA,NA_NA,Mosquito,NA_NA_NA_mammalianBloodmeal-spirochete-HubeiVirgaLike2-Narnaviridae-WenzhouTombuLike11-HubeiMosquitoVirus4
CMS_059_RNA_A_S10,,2018-03-26 10:09:24 -0700,7779.0,COMPLETE,28157612,150416,0.534,81.601,1.83,Insect engorged abdomen,RNA,37.668300_-122.159150,Mosquito,Culex pipiens_10/24/17_Ora Loma Sanitary District_Wolbachia-divergentHaemophilus_Trypanosomes
CMS_060_RNA_A_S12,,2018-04-15 09:23:03 -0700,15646.0,COMPLETE,41239958,583462,1.415,84.726,2.58,Insect engorged abdomen,RNA,37.556970_-122.07938,Mosquito,Culex inornata_10/23/17_Coyote Hills_Was this Aedes?
CMS_070_RNA_A_S3,,2018-02-06 17:57:49 -0800,19801.0,COMPLETE,63094794,511918,0.811,82.817,1.43,Insect abdomen,RNA,37.556970_-122.079380,Mosquito,Culex tarsalis_09/19/17_Coyotes Hills
CMS_088a_MagMax_RNA_A_S5,,2018-05-29 15:18:01 -0700,2925.0,COMPLETE,26335784,151126,0.574,25.392,1.09,,,,Mosquito,
CMS_088b_Dynabeads_RNA_A_S6,,2018-05-29 15:18:01 -0700,5364.0,COMPLETE,57530186,477144,0.829,20.678,1.11,,,,Mosquito,
CMS_089a_MagBeads_RNA_A_S7,,2018-05-29 15:18:01 -0700,1120.0,COMPLETE,41716132,249096,0.597,32.988,1.27,,,,Mosquito,
CMS_089b_ZymoZRDuet_RNA_A_S8,,2018-05-29 15:18:01 -0700,5451.0,COMPLETE,67299454,452180,0.672,31.563,1.16,,,,Mosquito,
CMS_100_RNA_A_S3,,2018-05-29 15:18:01 -0700,1826.0,COMPLETE,11035288,15990,0.145,21.476,1.19,,,,Mosquito,
CMS_70_RNA_A_S4,,2018-05-29 15:18:01 -0700,1779.0,COMPLETE,8547182,15722,0.184,30.202,1.2,,,,Mosquito,
CMS_D_RNA_A_S1,,2018-05-29 15:18:01 -0700,588.0,COMPLETE,19285368,152842,0.793,33.01,1.56,,,,Mosquito,
CMS_RL_RNA_A_S2,,2018-05-29 15:18:01 -0700,1719.0,COMPLETE,7752368,22772,0.294,26.018,1.15,,,,Mosquito,
CMS_water1_S11,,2018-03-26 10:09:24 -0700,6662.0,COMPLETE,9186,10,0.109,1.728,1.23,,,,Mosquito,
CMS_water2_S24,,2018-03-26 10:09:24 -0700,6179.0,COMPLETE,464240,4134,0.89,35.102,1.05,,,,Mosquito,
